order,section,source_id,source_hint,start,end,label,mute
1,preintro,IrYryRl2VJ8,Upsammy,00:00:08,00:00:11,stage lights on slowly,no
2,preintro,IrYryRl2VJ8,Upsammy,00:17:26,00:17:29,shot set lights on off,no
3,preintro,IrYryRl2VJ8,Upsammy,00:32:38,00:32:45,stage lights on off joey and maria,no
4,preintro,VnXs7amCMbc,Superball,00:34:43,00:34:49,superball blacklight,no
5,preintro,IrYryRl2VJ8,Upsammy,00:14:08,00:14:09,chains hands,no
6,preintro,IrYryRl2VJ8,Upsammy,00:47:55,00:47:57,different worlds,no
7,preintro,IrYryRl2VJ8,Upsammy,00:00:33,00:00:37,shot against light,no
8,intro,3P-A7J6Pqnc,Open Canvas,00:00:10.2,00:00:15.7,slippers playful intro,no
9,intro,6mpKr-avvlY,Superball Oorkaan,00:00:04,00:00:06,theatrical flash,no
10,musicianship,3P-A7J6Pqnc,Open Canvas,00:01:34,00:01:38,marimba close,no
12,musicianship,gz85boURfws,Speed Of Darkness,00:03:30,00:03:36,marimba close-up,no
13,musicianship,4PWvV6z4FHU,Loading Dock Session upsammy,00:00:53,00:00:58,collaboration,no
14,musicianship,3P-A7J6Pqnc,Open Canvas,00:02:52,00:02:55,piano,no
15,energy,eEGf4yjfd4E,The Move Groove,00:01:00,00:01:05,smiling,no
16,energy,66K3YZ625c8,FEM Promo Trailer,00:00:06,00:00:10,party smiling,no
17,energy,KvDDFS-zNhw,DDD Grand Charity Gala,00:00:36,00:00:39,audience interaction,no
18,energy,66K3YZ625c8,FEM Promo Trailer,00:00:20,00:00:24,party gold,no
19,energy,eEGf4yjfd4E,The Move Groove,00:03:15,00:03:18,funny shot,no
20,authority,qeYoU-lR_-k,Maestro Mercury Rising,00:00:23,00:00:28,frontal classical marimba,no
21,authority,qeYoU-lR_-k,Maestro Mercury Rising,00:01:40,00:01:45,pauken professional gold,no
22,authority,Xo0tKfQNhHs,VERDER Trailer,00:00:12,00:00:16,intimate cajon,no
23,theatrical,6mpKr-avvlY,Superball Oorkaan,00:00:35,00:00:41,ensemble playfulness,no
24,theatrical,6mpKr-avvlY,Superball Oorkaan,00:00:41,00:00:46,movement music theater,no
25,theatrical,yiUM3N-7aqk,Nieuw Babylon 9x13,00:00:49,00:00:51,snare shot,no
26,theatrical,6mpKr-avvlY,Superball Oorkaan,00:00:49,00:00:56,blacklight vibraphone,no
27,ending,4PWvV6z4FHU,Loading Dock Session upsammy,00:03:48,00:03:54,vibing with others,no
28,ending,eEGf4yjfd4E,The Move Groove,00:03:50,00:03:55,ending shot,no
